Iteration,Cost,Effectiveness,t_bradyc,t_discountedlifeyear,t_dl_se,t_hyperk,t_hypot,t_lifeyear,t_numberofdeath,t_numberofhfh,t_reimp,t_se,t_walk,profile
180,32.63,0.258254007,0,0.400332029,0,0,0,0.402739726,1,0,0,0,1,base
450,32.63,0.258254007,0,0.400332029,0,0,0,0.402739726,1,0,0,0,1,base
895,32.63,0.258254007,0,0.400332029,0,0,0,0.402739726,1,0,0,0,1,base
688,32.63,0.27081314,0,0.419275724,0,0,0,0.421917808,1,0,0,0,1,base
992,32.63,0.27081314,0,0.419275724,0,0,0,0.421917808,1,0,0,0,1,base
1217,32.63,0.27081314,0,0.419275724,0,0,0,0.421917808,1,0,0,0,1,base
245,32.63,0.28336869,0,0.43820857,0,0,0,0.44109589,1,0,0,0,1,base
453,32.63,0.28336869,0,0.43820857,0,0,0,0.44109589,1,0,0,0,1,base
457,32.63,0.28336869,0,0.43820857,0,0,0,0.44109589,1,0,0,0,1,base
975,32.63,0.28336869,0,0.43820857,0,0,0,0.44109589,1,0,0,0,1,base
1031,14137.80666,0.281342985,0,0.43820857,0,0,0,0.44109589,1,1,0,0,1,base
329,32.63,0.295920659,0,0.457130571,0,0,0,0.460273973,1,0,0,0,1,base
348,32.63,0.295920659,0,0.457130571,0,0,0,0.460273973,1,0,0,0,1,base
1056,14214.48487,0.293883941,0,0.457130571,0,0,0,0.460273973,1,1,0,0,1,base
572,32.63,0.308469046,0,0.476041732,0,0,0,0.479452055,1,0,0,0,1,base
650,32.63,0.308469046,0,0.476041732,0,0,0,0.479452055,1,0,0,0,1,base
1034,32.63,0.308469046,0,0.476041732,0,0,0,0.479452055,1,0,0,0,1,base
20,32.63,0.321013853,0,0.494942058,0,0,0,0.498630137,1,0,0,0,1,base
111,32.63,0.321013853,0,0.494942058,0,0,0,0.498630137,1,0,0,0,1,base
683,32.63,0.321013853,0,0.494942058,0,0,0,0.498630137,1,0,0,0,1,base
692,32.63,0.321013853,0,0.494942058,0,0,0,0.498630137,1,0,0,0,1,base
824,32.63,0.321013853,0,0.494942058,0,0,0,0.498630137,1,0,0,0,1,base
1004,32.63,0.321013853,0,0.494942058,0,0,0,0.498630137,1,0,0,0,1,base
627,32.63,0.333555081,0,0.513831553,0,0,0,0.517808219,1,0,0,0,1,base
639,14137.80666,0.331529376,0,0.513831553,0,0,0,0.517808219,1,1,0,0,1,base
746,32.63,0.333555081,0,0.513831553,0,0,0,0.517808219,1,0,0,0,1,base
1020,32.63,0.333555081,0,0.513831553,0,0,0,0.517808219,1,0,0,0,1,base
82,32.63,0.346092732,0,0.532710222,0,0,0,0.536986301,1,0,0,0,1,base
89,32.63,0.346092732,0,0.532710222,0,0,0,0.536986301,1,0,0,0,1,base
304,32.63,0.346092732,0,0.532710222,0,0,0,0.536986301,1,0,0,0,1,base
664,32.63,0.346092732,0,0.532710222,0,0,0,0.536986301,1,0,0,0,1,base
765,32.63,0.346092732,0,0.532710222,0,0,0,0.536986301,1,0,0,0,1,base
781,32.63,0.346092732,0,0.532710222,0,0,0,0.536986301,1,0,0,0,1,base
77,32.63,0.358626805,0,0.55157807,0,0,0,0.556164384,1,0,0,0,1,base
220,32.63,0.358626805,0,0.55157807,0,0,0,0.556164384,1,0,0,0,1,base
52,32.63,0.371157302,0,0.570435101,0,0,0,0.575342466,1,0,0,0,1,base
411,32.63,0.371157302,0,0.570435101,0,0,0,0.575342466,1,0,0,0,1,base
219,32.63,0.383684224,0,0.58928132,0,0,0,0.594520548,1,0,0,0,1,base
449,32.63,0.383684224,0,0.58928132,0,0,0,0.594520548,1,0,0,0,1,base
904,32.63,0.383684224,0,0.58928132,0,0,0,0.594520548,1,0,0,0,1,base
1243,32.63,0.383684224,0,0.58928132,0,0,0,0.594520548,1,0,0,0,1,base
99,32.63,0.396207573,0,0.608116732,0,0,0,0.61369863,1,0,0,0,1,base
810,14101.63024,0.394187063,0,0.608116732,0,0,0,0.61369863,1,1,0,0,1,base
1176,32.63,0.396207573,0,0.608116732,0,0,0,0.61369863,1,0,0,0,1,base
115,32.63,0.408727348,0,0.62694134,0,0,0,0.632876712,1,0,0,0,1,base
207,32.63,0.408727348,0,0.62694134,0,0,0,0.632876712,1,0,0,0,1,base
344,32.63,0.421243552,0,0.64575515,0,0,0,0.652054795,1,0,0,0,1,base
349,32.63,0.421243552,0,0.64575515,0,0,0,0.652054795,1,0,0,0,1,base
604,32.63,0.421243552,0,0.64575515,0,0,0,0.652054795,1,0,0,0,1,base
616,32.63,0.421243552,0,0.64575515,0,0,0,0.652054795,1,0,0,0,1,base
826,32.63,0.421243552,0,0.64575515,0,0,0,0.652054795,1,0,0,0,1,base
1042,14121.71678,0.43173279,0,0.664558167,0,0,0,0.671232877,1,1,0,0,1,base
1069,32.63,0.433756184,0,0.664558167,0,0,0,0.671232877,1,0,0,0,1,base
1197,32.63,0.433756184,0,0.664558167,0,0,0,0.671232877,1,0,0,0,1,base
1209,32.63,0.433756184,0,0.664558167,0,0,0,0.671232877,1,0,0,0,1,base
1280,32.63,0.433756184,0,0.664558167,0,0,0,0.671232877,1,0,0,0,1,base
84,32.63,0.446265247,0,0.683350395,0,0,0,0.690410959,1,0,0,0,1,base
123,32.63,0.446265247,0,0.683350395,0,0,0,0.690410959,1,0,0,0,1,base
218,32.63,0.446265247,0,0.683350395,0,0,0,0.690410959,1,0,0,0,1,base
247,32.63,0.446265247,0,0.683350395,0,0,0,0.690410959,1,0,0,0,1,base
540,32.63,0.446265247,0,0.683350395,0,0,0,0.690410959,1,0,0,0,1,base
946,32.63,0.446265247,0,0.683350395,0,0,0,0.690410959,1,0,0,0,1,base
1102,28372.0991,0.442195294,0,0.683350395,0,0,0,0.690410959,1,2,0,0,1,base
1117,32.63,0.446265247,0,0.683350395,0,0,0,0.690410959,1,0,0,0,1,base
125,32.63,0.458770741,0,0.702131839,0,0,0,0.709589041,1,0,0,0,1,base
660,32.63,0.458770741,0,0.702131839,0,0,0,0.709589041,1,0,0,0,1,base
1093,32.63,0.458770741,0,0.702131839,0,0,0,0.709589041,1,0,0,0,1,base
1175,32.63,0.458770741,0,0.702131839,0,0,0,0.709589041,1,0,0,0,1,base
199,32.63,0.471272668,0,0.720902503,0,0,0,0.728767123,1,0,0,0,1,base
238,32.63,0.471272668,0,0.720902503,0,0,0,0.728767123,1,0,0,0,1,base
607,14145.85849,0.469245806,0,0.720902503,0,0,0,0.728767123,1,1,0,0,1,base
787,32.63,0.471272668,0,0.720902503,0,0,0,0.728767123,1,0,0,0,1,base
852,32.63,0.471272668,0,0.720902503,0,0,0,0.728767123,1,0,0,0,1,base
49,14069.55133,0.494249918,0,0.75841151,0,0,0,0.767123288,1,1,0,0,1,base
579,32.63,0.496265821,0,0.75841151,0,0,0,0.767123288,1,0,0,0,1,base
