Profile,t_lifeyear,t_numberofdeath
Base,0.652054795,1
Base,1.610958904,1
Base,7.556164384,1
Base,0.61369863,1
Base,3.336986301,1
Base,14.01917808,1
Base,3.509589041,1
Base,1.975342466,1
Base,0.824657534,1
Base,1.476712329,1
Base,9.35890411,1
Base,8.994520548,1
Base,5.638356164,1
Base,18.46849315,1
Base,6.539726027,1
Base,0.498630137,1
Base,17.73972603,1
Base,1.150684932,1
Base,15.51506849,1
Base,0.632876712,1
Base,4.315068493,1
Base,20.1369863,1
Base,10.68219178,1
Base,2.320547945,1
Base,10.31780822,1
Base,11.5260274,1
Base,10.79726027,1
Base,0.728767123,1
Base,9.915068493,1
Base,0.709589041,1
Base,3.279452055,1
Base,13.40547945,1
Base,3.624657534,1
Base,0.17260274,1
Base,2.512328767,1
Base,16.76164384,1
Base,2.531506849,1
Base,0.997260274,1
Base,6.232876712,1
Base,2.531506849,1
Base,1.649315068,1
Base,1.112328767,1
Base,4.353424658,1
Base,5.273972603,1
Base,13.55890411,1
Base,3.452054795,1
Base,1.419178082,1
Base,4.391780822,1
Base,21.88219178,1
Base,13.32876712,1
Base,5.369863014,1
Base,3.912328767,1
Base,1.189041096,1
Base,2.18630137,1
Base,1.726027397,1
Base,8.57260274,1
Base,1.284931507,1
Base,10.0109589,1
Base,3.030136986,1
Base,7.306849315,1
Base,9.301369863,1
Base,3.164383562,1
Base,10.68219178,1
Base,4.353424658,1
Base,1.476712329,1
Base,9.493150685,1
Base,11.00821918,1
Base,2.378082192,1
Base,3.778082192,1
Base,8.035616438,1
Base,3.701369863,1
Base,6.079452055,1
Base,6.079452055,1
Base,0.978082192,1
Base,8.591780822,1
Base,4.353424658,1
Base,11.04657534,1
Base,3.145205479,1
Base,13.19452055,1
